reps,fold,brier,slope,auc,model,Model
5,3,0.143252306,1.011823365,0.797195589,3,+ not recorded 1 
5,4,0.138934952,1.009169295,0.79727304,3,+ not recorded 1 
5,5,0.146598698,0.933036963,0.777089193,3,+ not recorded 1 
5,6,0.137891612,0.971307655,0.791743751,3,+ not recorded 1 
5,7,0.147613382,0.958235733,0.785100559,3,+ not recorded 1 
5,8,0.132658429,1.02386338,0.805445952,3,+ not recorded 1 
5,9,0.146655517,0.911806499,0.779663684,3,+ not recorded 1 
5,10,0.142067979,0.992214875,0.789696962,3,+ not recorded 1 
1,1,0.139031828,0.994276191,0.795480683,4,#NAME?
1,2,0.138297268,0.988719299,0.800125539,4,#NAME?
1,3,0.137303274,1.006138821,0.80074166,4,#NAME?
1,4,0.132760195,1.028778809,0.8048988,4,#NAME?
1,5,0.128915316,1.060638894,0.806141043,4,#NAME?
1,6,0.141803222,1.011216153,0.795470731,4,#NAME?
1,7,0.146868044,0.942186448,0.788346369,4,#NAME?
1,8,0.14229555,0.95455084,0.786297503,4,#NAME?
1,9,0.134506931,1.035660957,0.806904734,4,#NAME?
1,10,0.146226293,0.929290366,0.785577281,4,#NAME?
2,1,0.142205882,1.017030757,0.802257543,4,#NAME?
2,2,0.136507024,0.968680904,0.790068614,4,#NAME?
2,3,0.137106964,1.026995263,0.805662603,4,#NAME?
2,4,0.141667157,0.942023091,0.785823271,4,#NAME?
2,5,0.141331808,1.054898973,0.80322482,4,#NAME?
2,6,0.132670479,0.996198154,0.799152688,4,#NAME?
2,7,0.137691212,0.97587635,0.800417479,4,#NAME?
2,8,0.140487274,0.984228824,0.791918768,4,#NAME?
2,9,0.14010108,0.99060306,0.793793525,4,#NAME?
2,10,0.141667955,0.983639473,0.793995301,4,#NAME?
3,1,0.137082531,0.995432837,0.802068116,4,#NAME?
3,2,0.141139894,0.91888325,0.78052989,4,#NAME?
3,3,0.139514712,1.044870125,0.80128763,4,#NAME?
3,4,0.139242412,0.982115429,0.794464658,4,#NAME?
3,5,0.143653716,1.00486221,0.797875036,4,#NAME?
3,6,0.144006763,0.934426932,0.784318233,4,#NAME?
3,7,0.128490939,1.036912145,0.814702994,4,#NAME?
3,8,0.131957844,1.074074258,0.808019005,4,#NAME?
3,9,0.143007384,1.02309968,0.804440586,4,#NAME?
3,10,0.145436065,0.945474988,0.783425816,4,#NAME?
4,1,0.144109522,0.956217179,0.787497322,4,#NAME?
4,2,0.13858765,0.974307837,0.791177657,4,#NAME?
4,3,0.133075912,1.01473244,0.805288503,4,#NAME?
4,4,0.131638265,0.9682197,0.790597843,4,#NAME?
4,5,0.138030345,0.982944049,0.798931645,4,#NAME?
4,6,0.138316678,0.995988613,0.796864471,4,#NAME?
4,7,0.142955892,0.99983281,0.797490444,4,#NAME?
4,8,0.144705235,1.013555558,0.796140163,4,#NAME?
4,9,0.140619583,1.009246303,0.799775782,4,#NAME?
4,10,0.138788787,1.018255313,0.801533008,4,#NAME?
5,1,0.130839126,1.065335004,0.810024851,4,#NAME?
5,2,0.136470932,1.048513861,0.805072279,4,#NAME?
5,3,0.141755917,1.002255235,0.800786352,4,#NAME?
5,4,0.138759341,1.00068926,0.798549357,4,#NAME?
5,5,0.144912726,0.941080803,0.782609173,4,#NAME?
5,6,0.136536236,0.972705703,0.794626156,4,#NAME?
5,7,0.146385395,0.971785945,0.787195289,4,#NAME?
5,8,0.132182753,1.015826154,0.806458092,4,#NAME?
5,9,0.145644094,0.913477208,0.783645228,4,#NAME?
5,10,0.141301726,0.979587742,0.791629676,4,#NAME?
1,1,0.13833799,1.001849627,0.798118306,5,#NAME?
1,2,0.138827638,0.967555474,0.800471599,5,#NAME?
1,3,0.136989761,0.996887014,0.801838124,5,#NAME?
1,4,0.132723167,1.023994764,0.807069603,5,#NAME?
1,5,0.129068242,1.062200053,0.807593004,5,#NAME?
1,6,0.142497466,1.005001562,0.798581473,5,#NAME?
1,7,0.145493723,0.961580254,0.793290177,5,#NAME?
1,8,0.141776392,0.965937119,0.789768667,5,#NAME?
1,9,0.13435113,1.042397383,0.80684424,5,#NAME?
1,10,0.147496172,0.917790297,0.786843148,5,#NAME?
2,1,0.142041343,1.018838269,0.804464367,5,#NAME?
2,2,0.137648643,0.948967986,0.788468453,5,#NAME?
2,3,0.137538382,1.037516882,0.807541826,5,#NAME?
2,4,0.141400791,0.951423785,0.788935216,5,#NAME?
2,5,0.140997269,1.050221315,0.805599816,5,#NAME?
2,6,0.132748533,1.00434512,0.802479674,5,#NAME?
2,7,0.13806731,0.978631986,0.800126045,5,#NAME?
2,8,0.140487155,0.96453379,0.795806356,5,#NAME?
2,9,0.139020991,1.005366687,0.795989767,5,#NAME?
2,10,0.141188235,0.970739046,0.795687759,5,#NAME?
3,1,0.136759555,0.993499578,0.805625511,5,#NAME?
3,2,0.140411395,0.94998113,0.785645294,5,#NAME?
3,3,0.140011345,1.028674671,0.800045956,5,#NAME?
3,4,0.139850055,0.981380535,0.79289061,5,#NAME?
3,5,0.14516037,0.972492761,0.79589676,5,#NAME?
3,6,0.143342352,0.937092739,0.789211696,5,#NAME?
3,7,0.128212979,1.024016501,0.815767338,5,#NAME?
3,8,0.130988642,1.088011628,0.812595721,5,#NAME?
3,9,0.143610344,1.01517444,0.80516917,5,#NAME?
3,10,0.145392171,0.947052421,0.785613214,5,#NAME?
4,1,0.143137631,0.956143451,0.792092181,5,#NAME?
4,2,0.136845778,1.006043389,0.796072047,5,#NAME?
4,3,0.133166792,1.031168124,0.809838501,5,#NAME?
4,4,0.132060469,0.95121442,0.791251215,5,#NAME?
4,5,0.138153315,0.989722527,0.799587191,5,#NAME?
4,6,0.138895921,0.982871765,0.797901372,5,#NAME?
4,7,0.143742056,0.992129209,0.797547522,5,#NAME?
4,8,0.146233007,0.977450348,0.793926757,5,#NAME?
4,9,0.140413809,1.007118553,0.802654806,5,#NAME?
4,10,0.13803329,1.029375058,0.803977658,5,#NAME?
5,1,0.130701868,1.068161973,0.812406693,5,#NAME?
5,2,0.136193061,1.040995313,0.807429371,5,#NAME?
5,3,0.142153398,0.996314892,0.801828721,5,#NAME?
5,4,0.138159272,1.007398342,0.801666444,5,#NAME?
5,5,0.14440504,0.949139537,0.785051314,5,#NAME?
5,6,0.136958715,0.983053994,0.796129142,5,#NAME?
5,7,0.147098379,0.952444729,0.789156894,5,#NAME?
5,8,0.13212109,0.999186469,0.807991026,5,#NAME?
5,9,0.145851299,0.927645103,0.784808789,5,#NAME?
5,10,0.141145693,0.976972219,0.793958735,5,#NAME?
1,1,0.138364987,0.997922367,0.798023429,6,#NAME?
1,2,0.13815672,0.977777181,0.800925738,6,#NAME?
1,3,0.136927358,0.995614822,0.802168421,6,#NAME?
1,4,0.133003214,1.014461392,0.806984715,6,#NAME?
1,5,0.128777817,1.065300945,0.808063734,6,#NAME?
1,6,0.142589214,0.998112722,0.799035531,6,#NAME?
1,7,0.14538677,0.962242341,0.793365102,6,#NAME?
1,8,0.141438607,0.9680137,0.790670354,6,#NAME?
1,9,0.134194071,1.042102471,0.807600637,6,#NAME?
1,10,0.147271418,0.915681084,0.787500396,6,#NAME?
2,1,0.141964616,1.015638935,0.804694041,6,#NAME?
2,2,0.13782053,0.942042053,0.788533624,6,#NAME?
2,3,0.137761519,1.034701588,0.806915057,6,#NAME?
2,4,0.141095358,0.952822255,0.790351342,6,#NAME?
2,5,0.140961628,1.046129807,0.805936508,6,#NAME?
2,6,0.132636238,1.000064792,0.802672918,6,#NAME?
2,7,0.13770255,0.981679941,0.800828049,6,#NAME?
2,8,0.139837161,0.974441052,0.796782533,6,#NAME?
2,9,0.138971288,1.000881067,0.796054319,6,#NAME?
2,10,0.140885394,0.973545403,0.796128021,6,#NAME?
3,1,0.136590554,0.991933538,0.805822673,6,#NAME?
3,2,0.140099211,0.953404488,0.786767126,6,#NAME?
3,3,0.139686736,1.034332482,0.80054213,6,#NAME?
3,4,0.139477228,0.984868918,0.793382777,6,#NAME?
3,5,0.145586494,0.960803039,0.794510558,6,#NAME?
3,6,0.143125808,0.935507699,0.790017089,6,#NAME?
3,7,0.128074462,1.022680739,0.81604713,6,#NAME?
3,8,0.130938403,1.083952976,0.812517204,6,#NAME?
3,9,0.14345502,1.016070607,0.805656115,6,#NAME?
3,10,0.145241268,0.946335915,0.786375733,6,#NAME?
4,1,0.143434891,0.948077555,0.791486667,6,#NAME?
4,2,0.136770819,1.004348855,0.796654218,6,#NAME?
4,3,0.133113278,1.027120333,0.809773551,6,#NAME?
4,4,0.131804496,0.952747664,0.79177055,6,#NAME?
4,5,0.138025751,0.993382719,0.800511759,6,#NAME?
4,6,0.138680659,0.983721234,0.79887344,6,#NAME?
4,7,0.143747945,0.98860297,0.797162966,6,#NAME?
4,8,0.14564122,0.986331898,0.794702781,6,#NAME?
4,9,0.140102847,1.006972049,0.803661999,6,#NAME?
4,10,0.137838928,1.026140099,0.80392874,6,#NAME?
5,1,0.13051021,1.0665201,0.812609625,6,#NAME?
5,2,0.135919413,1.043373113,0.808352717,6,#NAME?
5,3,0.142150205,0.991534171,0.801730356,6,#NAME?
5,4,0.137591532,1.01783836,0.801795031,6,#NAME?
5,5,0.144551785,0.947654146,0.785707019,6,#NAME?
5,6,0.136809467,0.982564363,0.79648003,6,#NAME?
5,7,0.14685626,0.953830128,0.789638962,6,#NAME?
5,8,0.131809885,0.996763112,0.808483542,6,#NAME?
5,9,0.145875158,0.924950042,0.785285378,6,#NAME?
5,10,0.141254301,0.967878572,0.793915201,6,#NAME?
1,1,0.14010928,0.997883854,0.792042265,7,+ not recorded 2 (NR2)
1,2,0.13940233,0.992174901,0.796197099,7,+ not recorded 2 (NR2)
1,3,0.13884092,0.995947419,0.795511394,7,+ not recorded 2 (NR2)
1,4,0.13364868,1.037672159,0.800846025,7,+ not recorded 2 (NR2)
1,5,0.131078585,1.044460785,0.800039987,7,+ not recorded 2 (NR2)
1,6,0.143722548,1.005042399,0.79126991,7,+ not recorded 2 (NR2)
1,7,0.14732821,0.952799406,0.787325778,7,+ not recorded 2 (NR2)
1,8,0.143446434,0.955156646,0.783159114,7,+ not recorded 2 (NR2)
1,9,0.135394857,1.049385053,0.802946156,7,+ not recorded 2 (NR2)
1,10,0.148211935,0.920786233,0.779943724,7,+ not recorded 2 (NR2)
2,1,0.143619821,1.016103438,0.798341688,7,+ not recorded 2 (NR2)
2,2,0.138215073,0.958837252,0.78461509,7,+ not recorded 2 (NR2)
2,3,0.138871925,1.029471333,0.801530984,7,+ not recorded 2 (NR2)
2,4,0.142829796,0.947345933,0.780619803,7,+ not recorded 2 (NR2)
2,5,0.142413555,1.069033692,0.800756508,7,+ not recorded 2 (NR2)
2,6,0.133874115,0.999078164,0.795075843,7,+ not recorded 2 (NR2)
2,7,0.139707686,0.973561858,0.79437554,7,+ not recorded 2 (NR2)
2,8,0.141178338,0.990120763,0.790605744,7,+ not recorded 2 (NR2)
2,9,0.141249125,0.976085239,0.789294159,7,+ not recorded 2 (NR2)
2,10,0.142560033,0.980539728,0.790106623,7,+ not recorded 2 (NR2)
3,1,0.138212291,1.011380671,0.800083508,7,+ not recorded 2 (NR2)
3,2,0.142043435,0.925734296,0.777163034,7,+ not recorded 2 (NR2)
3,3,0.140356075,1.047663329,0.797648231,7,+ not recorded 2 (NR2)
3,4,0.141173213,0.963244165,0.788083131,7,+ not recorded 2 (NR2)
3,5,0.146585475,0.98724982,0.789599113,7,+ not recorded 2 (NR2)
3,6,0.144979465,0.935415498,0.782019995,7,+ not recorded 2 (NR2)
3,7,0.129487443,1.040659388,0.810436217,7,+ not recorded 2 (NR2)
3,8,0.133117547,1.072683141,0.804324562,7,+ not recorded 2 (NR2)
3,9,0.145149294,1.01467619,0.798493007,7,+ not recorded 2 (NR2)
3,10,0.146156888,0.953156706,0.780895053,7,+ not recorded 2 (NR2)
4,1,0.144987762,0.955356024,0.784175488,7,+ not recorded 2 (NR2)
4,2,0.139284168,0.98627572,0.787103044,7,+ not recorded 2 (NR2)
4,3,0.134937276,1.01553869,0.802370306,7,+ not recorded 2 (NR2)
4,4,0.132652516,0.966160136,0.786827331,7,+ not recorded 2 (NR2)
4,5,0.138795467,0.988069823,0.795232896,7,+ not recorded 2 (NR2)
4,6,0.140037525,0.989587183,0.791765303,7,+ not recorded 2 (NR2)
4,7,0.144147269,0.996338153,0.793154105,7,+ not recorded 2 (NR2)
4,8,0.146657021,1.010708163,0.789968182,7,+ not recorded 2 (NR2)
4,9,0.142727838,1.007296435,0.79526587,7,+ not recorded 2 (NR2)
4,10,0.139793212,1.015946105,0.797966458,7,+ not recorded 2 (NR2)
5,1,0.132630177,1.062038647,0.803992545,7,+ not recorded 2 (NR2)
5,2,0.138021615,1.038188012,0.800293471,7,+ not recorded 2 (NR2)
5,3,0.14375899,1.000818492,0.796040697,7,+ not recorded 2 (NR2)
5,4,0.139419332,1.011790265,0.794935648,7,+ not recorded 2 (NR2)
5,5,0.1463487,0.941633995,0.778493415,7,+ not recorded 2 (NR2)
5,6,0.138110747,0.968956861,0.790299401,7,+ not recorded 2 (NR2)
5,7,0.147702369,0.965561149,0.784970426,7,+ not recorded 2 (NR2)
5,8,0.133222407,1.018399182,0.804135848,7,+ not recorded 2 (NR2)
5,9,0.146856241,0.912105872,0.778928257,7,+ not recorded 2 (NR2)
5,10,0.142060178,0.996099041,0.78925922,7,+ not recorded 2 (NR2)
1,1,0.138198225,1.001337429,0.798192397,8,#NAME?
1,2,0.138814995,0.966408954,0.800095584,8,#NAME?
1,3,0.136965118,0.996152533,0.802146175,8,#NAME?
1,4,0.132812635,1.020307227,0.806372537,8,#NAME?
1,5,0.128976943,1.063144648,0.807978651,8,#NAME?
1,6,0.142375181,1.007055563,0.799239048,8,#NAME?
1,7,0.14533517,0.962624312,0.793577087,8,#NAME?
1,8,0.141819406,0.964097499,0.789424673,8,#NAME?
1,9,0.134277206,1.043277556,0.80729759,8,#NAME?
1,10,0.147394181,0.917198045,0.786933475,8,#NAME?
2,1,0.142050571,1.015756928,0.80415179,8,#NAME?
2,2,0.137430201,0.950967501,0.789387475,8,#NAME?
2,3,0.137651009,1.034390432,0.807025848,8,#NAME?
2,4,0.141324186,0.94970603,0.788736787,8,#NAME?
2,5,0.140955574,1.05229836,0.805904506,8,#NAME?
2,6,0.132770329,1.003123079,0.802537657,8,#NAME?
2,7,0.137978165,0.979151008,0.800328575,8,#NAME?
2,8,0.14037474,0.964506779,0.796025214,8,#NAME?
2,9,0.138908624,1.003173219,0.795776006,8,#NAME?
2,10,0.140952359,0.974941998,0.796491452,8,#NAME?
3,1,0.136698091,0.993840297,0.805621873,8,#NAME?
3,2,0.140398699,0.945785904,0.785246839,8,#NAME?
3,3,0.139878328,1.030620083,0.8005838,8,#NAME?
3,4,0.139906811,0.978486002,0.792484884,8,#NAME?
3,5,0.14501731,0.974091386,0.795731237,8,#NAME?
3,6,0.143452164,0.933111903,0.788809689,8,#NAME?
3,7,0.128085199,1.024427973,0.815752262,8,#NAME?
3,8,0.130861824,1.089001779,0.813138872,8,#NAME?
3,9,0.143635178,1.014657383,0.805359455,8,#NAME?
3,10,0.145211569,0.949459539,0.786387045,8,#NAME?
4,1,0.142929511,0.957091739,0.791936872,8,#NAME?
4,2,0.137049645,1.000151102,0.795569631,8,#NAME?
4,3,0.133077369,1.030629752,0.81022859,8,#NAME?
4,4,0.13209832,0.949619744,0.79101289,8,#NAME?
4,5,0.137925052,0.991524441,0.800026641,8,#NAME?
4,6,0.138875354,0.983688942,0.798045891,8,#NAME?
4,7,0.143621979,0.992750503,0.79780985,8,#NAME?
4,8,0.146230041,0.977840964,0.794221554,8,#NAME?
4,9,0.140365968,1.00474196,0.802352574,8,#NAME?
4,10,0.137970046,1.029309725,0.803929722,8,#NAME?
5,1,0.130782622,1.067349898,0.812230374,8,#NAME?
5,2,0.136107073,1.040520535,0.807569012,8,#NAME?
5,3,0.14220912,0.99567789,0.801931259,8,#NAME?
5,4,0.138268513,1.003854656,0.800847804,8,#NAME?
5,5,0.144227746,0.951331337,0.785930128,8,#NAME?
5,6,0.136892706,0.98170048,0.796035767,8,#NAME?
5,7,0.146884845,0.95541988,0.789839183,8,#NAME?
5,8,0.132060982,0.998767883,0.807914374,8,#NAME?
5,9,0.145787858,0.923796441,0.784781513,8,#NAME?
5,10,0.140941054,0.979600549,0.794549647,8,#NAME?
