Model_number,reps,fold,brier,slope,auc,Variables,Penalty,Model,Approach
2,4,9,0.148755798,1.030557888,0.774193352,B,,Logistic,Logistic
2,4,10,0.14510656,1.026650787,0.774752371,B,,Logistic,Logistic
2,5,1,0.137845771,1.090473235,0.784132654,B,,Logistic,Logistic
2,5,2,0.143552019,1.044570909,0.777992139,B,,Logistic,Logistic
2,5,3,0.152150559,0.986358135,0.768748782,B,,Logistic,Logistic
2,5,4,0.145181594,1.006717794,0.77215238,B,,Logistic,Logistic
2,5,5,0.151299533,0.968054818,0.759734815,B,,Logistic,Logistic
2,5,6,0.144950107,0.95781073,0.764340039,B,,Logistic,Logistic
2,5,7,0.153020452,0.978365255,0.761943784,B,,Logistic,Logistic
2,5,8,0.139395347,1.036218682,0.780049076,B,,Logistic,Logistic
2,5,9,0.153889936,0.905000309,0.756252158,B,,Logistic,Logistic
2,5,10,0.148119314,1.004427733,0.767166745,B,,Logistic,Logistic
3,1,1,0.144022244,0.974908166,0.783458052,B + CCI,,Cox,Cox
3,1,2,0.143272657,0.965027774,0.786478208,B + CCI,,Cox,Cox
3,1,3,0.141570374,1.013768217,0.791608349,B + CCI,,Cox,Cox
3,1,4,0.141107048,0.92795578,0.786383048,B + CCI,,Cox,Cox
3,1,5,0.135494565,0.987896856,0.791463198,B + CCI,,Cox,Cox
3,1,6,0.147084127,0.959211174,0.782402192,B + CCI,,Cox,Cox
3,1,7,0.151766557,0.905366477,0.776057883,B + CCI,,Cox,Cox
3,1,8,0.148179203,0.920294118,0.773086441,B + CCI,,Cox,Cox
3,1,9,0.139251826,0.98941102,0.79249678,B + CCI,,Cox,Cox
3,1,10,0.150379499,0.918956672,0.773851598,B + CCI,,Cox,Cox
3,2,1,0.14685476,0.967431925,0.786255374,B + CCI,,Cox,Cox
3,2,2,0.144889353,0.897621615,0.76908748,B + CCI,,Cox,Cox
3,2,3,0.141033913,1.006717526,0.796380104,B + CCI,,Cox,Cox
3,2,4,0.147558629,0.903784766,0.774319727,B + CCI,,Cox,Cox
3,2,5,0.145535868,1.040873608,0.795948564,B + CCI,,Cox,Cox
3,2,6,0.1384623,0.967627655,0.786265715,B + CCI,,Cox,Cox
3,2,7,0.144727202,0.92824718,0.782894782,B + CCI,,Cox,Cox
3,2,8,0.14581023,0.955482249,0.782437068,B + CCI,,Cox,Cox
3,2,9,0.144847843,0.94182989,0.778959628,B + CCI,,Cox,Cox
3,2,10,0.146106753,0.939643863,0.778299408,B + CCI,,Cox,Cox
3,3,1,0.141849616,0.973284476,0.789064991,B + CCI,,Cox,Cox
3,3,2,0.145720928,0.905990401,0.77028419,B + CCI,,Cox,Cox
3,3,3,0.145436115,0.984376172,0.785308086,B + CCI,,Cox,Cox
3,3,4,0.146319211,0.920158934,0.772611329,B + CCI,,Cox,Cox
