reps,fold,brier,slope,auc,runtime,model,Model_number
2,7,0.142556677,0.971810796,0.783711751,0.202533007,4,4
2,8,0.143145595,0.999726382,0.782299866,0.203458071,4,4
2,9,0.14336456,0.984827826,0.779757107,0.163552999,4,4
2,10,0.144622954,0.985391811,0.779556815,0.164682865,4,4
3,1,0.139831749,1.019977485,0.789107264,0.166250944,4,4
3,2,0.143676768,0.943388181,0.771499317,0.163609028,4,4
3,3,0.144409449,1.033194455,0.786469594,0.165174007,4,4
3,4,0.144621814,0.950397836,0.773911933,0.164000988,4,4
3,5,0.14709556,1.016299751,0.785856407,0.170094967,4,4
3,6,0.146642537,0.943328922,0.775150125,0.162768126,4,4
3,7,0.130439481,1.079914547,0.804256811,0.153872013,4,4
3,8,0.135487461,1.063545116,0.794473601,0.161875963,4,4
3,9,0.148314526,1.013864026,0.789648822,0.16379714,4,4
3,10,0.149718303,0.947343839,0.771620182,0.163985014,4,4
4,1,0.14620314,0.970472032,0.777147414,0.166203976,4,4
4,2,0.142371209,0.981878124,0.778293941,0.162979126,4,4
4,3,0.137901823,1.004049244,0.789801989,0.163914919,4,4
4,4,0.133947496,1.004961706,0.781788555,0.194396019,4,4
4,5,0.139897751,1.008702284,0.790072369,0.19478488,4,4
4,6,0.144282079,0.974760299,0.778320721,0.16364193,4,4
4,7,0.147282666,1.008137,0.784125842,0.174139023,4,4
4,8,0.149747225,0.984300976,0.781192487,0.173629999,4,4
4,9,0.144082603,1.034836789,0.789251992,0.163877964,4,4
4,10,0.141729817,1.016634222,0.788032356,0.164845943,4,4
5,1,0.135084027,1.059344458,0.795091822,0.16603303,4,4
5,2,0.140025515,1.034519013,0.791365367,0.164418936,4,4
5,3,0.146840216,0.991534147,0.785275114,0.163897038,4,4
5,4,0.141513227,1.010178202,0.785481996,0.161697149,4,4
5,5,0.148583655,0.948088117,0.771402154,0.173551798,4,4
5,6,0.140403716,0.985900994,0.781441655,0.163844109,4,4
5,7,0.148169689,1.017005945,0.780448691,0.1712749,4,4
5,8,0.134910576,1.043873615,0.797305944,0.160771132,4,4
5,9,0.150047894,0.908508752,0.768833009,0.174371004,4,4
5,10,0.145331663,0.986106528,0.779305601,0.173994064,4,4
1,1,0.151597352,0.911980496,0.783347534,0.36873579,5,5
1,2,0.150149137,0.893541611,0.788133698,0.37457943,5,5
1,3,0.14865182,0.948484464,0.793044537,0.379556894,5,5
1,4,0.145824672,0.936861858,0.793978391,1.931885242,5,5
1,5,0.143062096,0.936233283,0.79321054,0.372208357,5,5
1,6,0.151686145,0.919926884,0.785003098,0.373967409,5,5
1,7,0.15833983,0.845852549,0.779393694,0.36169219,5,5
1,8,0.15267342,0.896270058,0.776641963,0.371348381,5,5
1,9,0.143686582,0.939822353,0.797404053,0.37130022,5,5
1,10,0.156285795,0.853464532,0.774255,0.367212534,5,5
2,1,0.150999366,0.928142908,0.791907559,0.373826265,5,5
2,2,0.14911142,0.884377936,0.775722184,0.375514984,5,5
2,3,0.1469543,0.940978817,0.793908294,0.371464014,5,5
2,4,0.152692207,0.878796795,0.777423015,1.958329678,5,5
2,5,0.151509755,0.982281374,0.796865592,0.378209591,5,5
2,6,0.145164456,0.912784074,0.789474252,0.368849277,5,5
2,7,0.151126745,0.859008813,0.787267936,1.956104994,5,5
2,8,0.153314788,0.910340198,0.783312499,0.373272181,5,5
2,9,0.150963144,0.893716865,0.782691992,0.374777317,5,5
2,10,0.153417012,0.871768083,0.779403032,0.373755932,5,5
3,1,0.149237761,0.922601957,0.791341876,0.37631917,5,5
3,2,0.151929252,0.849094162,0.770778088,0.363077879,5,5
3,3,0.150300572,0.923637046,0.787804828,0.372453213,5,5
3,4,0.151582809,0.886073711,0.777634517,0.377214909,5,5
3,5,0.156396068,0.883601955,0.783741146,0.37948823,5,5
3,6,0.153458428,0.878870589,0.776810849,0.375847578,5,5
