"","y0","y1","yhat0","yhat1"
"[0.00956,0.601]",1392,1028,1446.43283861894,973.567161381058
"(0.601,0.779]",732,1687,726.383970470247,1692.61602952975
"(0.779,0.871]",401,2018,413.100810263955,2005.89918973604
"(0.871,0.929]",237,2182,237.111247256612,2181.88875274339
"(0.929,0.991]",94,2325,112.846110006874,2306.15388999313
