Probability_cutoff,Proportion,Measure
0.081450768,0.957250904,NPV
0.078879752,0.958547448,NPV
0.076238113,0.958899214,NPV
0.073208837,0.959641256,NPV
0.070529642,0.961643836,NPV
0.068289088,0.964652692,NPV
0.065738505,0.964532872,NPV
0.063185526,0.964383562,NPV
0.06088553,0.965667311,NPV
0.058744976,0.967642527,NPV
0.056467224,0.969315068,NPV
0.054076868,0.973004695,NPV
0.051340855,0.976611884,NPV
0.049496155,0.976728268,NPV
0.04732031,0.979088872,NPV
0.045122555,0.982758621,NPV
0.042739816,0.982664234,NPV
0.040205034,0.985626283,NPV
0.037734838,0.987104338,NPV
0.035153016,0.986320109,NPV
0.03257551,0.990163934,NPV
0.030042901,0.991803279,NPV
0.027323356,0.989100817,NPV
0.02377855,0.987755102,NPV
0.01903358,0.983870968,NPV
0.008763869,1,NPV
